panel,radius_um,n_sifa_vertices,n_kc_soma_vertices,distance_nm,distance_um
O,0.5,527,94313,2566.9288559533315,2.5669288559533316
O,1.0,1495,94313,2356.6255639851074,2.3566255639851073
O,1.5,2028,94313,2201.874269435219,2.201874269435219
