sifa_body_id,partner_body_id,weight,weightHP,partner_type,partner_instance,partner_hemibrainType,partner_class,partner_subclass,partner_superclass,partner_somaSide,partner_rootSide,direction,dataset,group,side
1418618235,1669924220,2,2,lLN2T_d,lLN2T_d(Tortuous)_R,,,,,,,target_to_SIFa,hemibrain:v1.2.1,other,R
1418618235,1669949998,1,1,ORN_DA1,ORN_DA1_L,,,,,,,target_to_SIFa,hemibrain:v1.2.1,other,R
1418618235,1670287030,2,1,lLN2F_a,lLN2F_a(Full)_R,,,,,,,target_to_SIFa,hemibrain:v1.2.1,other,R
1418618235,1670597533,1,1,lLN1_a,lLN1_a_R,,,,,,,target_to_SIFa,hemibrain:v1.2.1,other,R
1418618235,1670627928,1,1,lLN2S,lLN2S(Star)_R,,,,,,,target_to_SIFa,hemibrain:v1.2.1,other,R
1418618235,1670934213,4,1,DL4_adPN,DL4_adPN_R,,,,,,,target_to_SIFa,hemibrain:v1.2.1,other,R
1418618235,1670934229,1,1,ORN_DL4,ORN_DL4_L,,,,,,,target_to_SIFa,hemibrain:v1.2.1,other,R
1418618235,1671275020,2,2,ORN_DL4,ORN_DL4_R,,,,,,,target_to_SIFa,hemibrain:v1.2.1,other,R
1418618235,1671292719,2,2,lLN2T_c,lLN2T_c(Tortuous)_R,,,,,,,target_to_SIFa,hemibrain:v1.2.1,other,R
1418618235,1671297064,1,1,,LN,,,,,,,target_to_SIFa,hemibrain:v1.2.1,other,R
1418618235,1671966114,1,1,ORN_DA1,ORN_DA1_L,,,,,,,target_to_SIFa,hemibrain:v1.2.1,other,R
1418618235,1692817033,2,2,VA7l_adPN,VA7l_adPN_R,,,,,,,target_to_SIFa,hemibrain:v1.2.1,other,R
1418618235,1694384686,2,1,,,,,,,,,target_to_SIFa,hemibrain:v1.2.1,other,R
1418618235,1697949713,1,1,,LN,,,,,,,target_to_SIFa,hemibrain:v1.2.1,other,R
1418618235,1699974843,3,2,lLN2T_e,lLN2T_e(Tortuous)_R,,,,,,,target_to_SIFa,hemibrain:v1.2.1,other,R
1418618235,1700937093,1,1,DL1_adPN,DL1_adPN_R,,,,,,,target_to_SIFa,hemibrain:v1.2.1,other,R
1418618235,1701947337,4,1,lLN2P_b,lLN2P_b(Patchy)_R,,,,,,,target_to_SIFa,hemibrain:v1.2.1,other,R
1418618235,1701965099,1,1,ORN_DL4,ORN_DL4_R,,,,,,,target_to_SIFa,hemibrain:v1.2.1,other,R
1418618235,1702651358,2,1,lLN1_c,lLN1_c_R,,,,,,,target_to_SIFa,hemibrain:v1.2.1,other,R
1418618235,1702668580,2,1,,LN,,,,,,,target_to_SIFa,hemibrain:v1.2.1,other,R
1418618235,1704347707,2,1,lLN2T_c,lLN2T_c(Tortuous)_R,,,,,,,target_to_SIFa,hemibrain:v1.2.1,other,R
1418618235,1720109208,1,1,,,,,,,,,target_to_SIFa,hemibrain:v1.2.1,other,R
1418618235,1727988111,2,1,,LN_L,,,,,,,target_to_SIFa,hemibrain:v1.2.1,other,R
1418618235,1728104437,1,1,AVLP440,AVLP440_R,,,,,,,target_to_SIFa,hemibrain:v1.2.1,other,R
