sifa_body_id,partner_body_id,weight,weightHP,partner_type,partner_instance,partner_hemibrainType,partner_class,partner_subclass,partner_superclass,partner_somaSide,partner_rootSide,direction,dataset,group,side
10342,90919,2,1,KCab-m,KCab-m_L,"KCab-m,KCab-c,KCab-s",Kenyon_Cell,,cb_intrinsic,L,,target_to_SIFa,male-cns:v1.0,KC_alpha_beta,L
10342,91883,1,1,Dm11,Dm11_L,,,,ol_intrinsic,L,,target_to_SIFa,male-cns:v1.0,other,L
10342,92019,1,1,Y14,Y14_L,,,,ol_intrinsic,L,,target_to_SIFa,male-cns:v1.0,other,L
10342,92098,1,1,T5b,T5b_L,,,,ol_intrinsic,L,,target_to_SIFa,male-cns:v1.0,other,L
10342,92188,1,1,EPG,EPG(PB08)_R7,EPG,CX,,cb_intrinsic,R,,target_to_SIFa,male-cns:v1.0,other,unknown
10342,93409,1,1,KCab-s,KCab-s_L,"KCab-m,KCab-c,KCab-s",Kenyon_Cell,,cb_intrinsic,L,,target_to_SIFa,male-cns:v1.0,KC_alpha_beta,L
10342,93593,1,1,KCab-m,KCab-m_R,"KCab-m,KCab-c,KCab-s",Kenyon_Cell,,cb_intrinsic,R,,target_to_SIFa,male-cns:v1.0,KC_alpha_beta,R
10342,95547,1,1,ORN_DA1,ORN_DA1_R,ORN_DA1,olfactory,,cb_sensory,,R,target_to_SIFa,male-cns:v1.0,other,R
10342,96213,2,1,CB1619,CB1619_L,,,,cb_intrinsic,L,,target_to_SIFa,male-cns:v1.0,other,L
10342,96487,1,1,Tm3,Tm3_L,,,,ol_intrinsic,L,,target_to_SIFa,male-cns:v1.0,other,L
10342,97024,1,1,KCab-s,KCab-s_L,"KCab-m,KCab-c,KCab-s",Kenyon_Cell,,cb_intrinsic,L,,target_to_SIFa,male-cns:v1.0,KC_alpha_beta,L
10342,98015,3,3,PRW005,PRW005_R,,,,cb_intrinsic,R,,target_to_SIFa,male-cns:v1.0,other,R
10342,99226,1,1,T5b,T5b_L,,,,ol_intrinsic,L,,target_to_SIFa,male-cns:v1.0,other,L
10342,100484,1,1,KCab-s,KCab-s_L,"KCab-m,KCab-c,KCab-s",Kenyon_Cell,,cb_intrinsic,L,,target_to_SIFa,male-cns:v1.0,KC_alpha_beta,L
10342,100622,2,2,Tm3,Tm3_L,,,,ol_intrinsic,L,,target_to_SIFa,male-cns:v1.0,other,L
10342,101035,2,2,SMP382,SMP382_R,SMP382,,,cb_intrinsic,R,,target_to_SIFa,male-cns:v1.0,other,R
10342,101240,2,1,JO-ED1,JO-ED1_L,,mechanosensory,wind_gravity,cb_sensory,,L,target_to_SIFa,male-cns:v1.0,other,L
10342,103231,1,1,Dm10,Dm10_L,,,,ol_intrinsic,L,,target_to_SIFa,male-cns:v1.0,other,L
10342,103398,1,1,Mi4,Mi4_L,,,,ol_intrinsic,L,,target_to_SIFa,male-cns:v1.0,other,L
10342,105085,3,2,Tm2,Tm2_L,,,,ol_intrinsic,L,,target_to_SIFa,male-cns:v1.0,other,L
10342,107009,2,1,KCab-s,KCab-s_L,"KCab-m,KCab-c,KCab-s",Kenyon_Cell,,cb_intrinsic,L,,target_to_SIFa,male-cns:v1.0,KC_alpha_beta,L
10342,107679,1,1,KCab-s,KCab-s_L,"KCab-m,KCab-c,KCab-s",Kenyon_Cell,,cb_intrinsic,L,,target_to_SIFa,male-cns:v1.0,KC_alpha_beta,L
10342,108035,3,3,Dm-DRA2,Dm-DRA2_L,,,,ol_intrinsic,L,,target_to_SIFa,male-cns:v1.0,other,L
10342,108049,1,1,,,,gustatory,leg bristle,sensory_ascending,,L,target_to_SIFa,male-cns:v1.0,other,unknown
10342,108716,2,2,ORN_DA1,ORN_DA1_R,ORN_DA1,olfactory,,cb_sensory,,R,target_to_SIFa,male-cns:v1.0,other,R
10342,109414,4,3,ORN_DA1,ORN_DA1_R,ORN_DA1,olfactory,,cb_sensory,,R,target_to_SIFa,male-cns:v1.0,other,R
10342,109802,1,1,KCab-s,KCab-s_L,"KCab-m,KCab-c,KCab-s",Kenyon_Cell,,cb_intrinsic,L,,target_to_SIFa,male-cns:v1.0,KC_alpha_beta,L
